Product_ID,Material_Name,CAS_Number,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Availability,Price_Change
5UU07533,Civet Art 10% in DPG from PerfumersWorld,103-95-7,0.450,,TRUE,Civet Art from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,+0.180
6UU18497,CIVET F-TEC from PerfumersWorld,Mixture (Perfume Base),0.550,,FALSE,,,,Available,+0.230
6UU09106,Civet Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.600,,FALSE,,,,Available,+0.300
1VT23924,Cocoa CO2 Extract from PerfumersWorld,84649-99-0,1.700,,FALSE,,,,Available,+0.200
6CL18897,COLOGNE F-TEC from PerfumersWorld,Mixture (Perfume Base),0.220,,FALSE,,,,Available,+0.030
7HH00895,Davana Essential Oil from PerfumersWorld,100-52-7,5.100,,FALSE,,,,Available,+0.400
7QC00902,Elemi Essential Oil from PerfumersWorld,5392-40-5,0.500,,FALSE,,,,Available,+0.060
3LW00187,Farnesol from PerfumersWorld,4602-84-0,1.350,,FALSE,,,,Available,+0.250
6QK19340,FRANKINCENSE F-TEC from PerfumersWorld,Mixture (Perfume Base),0.490,,FALSE,,,,Available,+0.040
7GQ00200,Galbanum Essential Oil from PerfumersWorld,55722-59-3,2.650,,FALSE,,,,Available,+0.250
4DF00164,Gamma Dodecalactone from PerfumersWorld,2305-05-7,0.850,,FALSE,,,,Available,+0.050
7SC00209,Ginger Essential Oil from PerfumersWorld,106-24-1,0.600,,FALSE,,,,Available,+0.080
6KG18320,GREEN PINE F-TEC from PerfumersWorld,Mixture (Perfume Base),0.200,,FALSE,,,,Available,+0.010
7RW00214,Guaiacwood Essential Oil from PerfumersWorld,97-53-0,0.250,,FALSE,,,,Not Listed,REMOVED
5RW08677,Guaiacwood Essential Oil 10% in DPG from PerfumersWorld,"8016-23-7|0.1
25265-71-8|0.9",0.120,,TRUE,Guaiacwood Essential Oil from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Not Listed,REMOVED
5RW07565,Guaiacwood Essential Oil 50% in DPG from PerfumersWorld,"8016-23-7|0.5
25265-71-8|0.5",0.160,,TRUE,Guaiacwood Essential Oil from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,50.00%,Not Listed,REMOVED
