Product_ID,Material_Name,Supplier,CAS_Number,New CAS,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Source_URL
8II00243,Alpha Irone from PerfumersWorld,PerfumersWorld,79-69-6,,5.10,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=8II00243
5II11436,Alpha Irone 10% in DPG from PerfumersWorld,PerfumersWorld,"79-69-6|0.1
25265-71-8|0.9",,0.52,,TRUE,Alpha Irone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5II11436
5II09179,Alpha Irone 10% in Myristic Acid(solid) from PerfumersWorld,PerfumersWorld,79-69-6|0.1,,0.57,,TRUE,Alpha Irone from PerfumersWorld,Myristic Acid(solid) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5II09179
3IW00300,Alpha Isomethyl Ionone from PerfumersWorld,PerfumersWorld,127-51-5,,0.23,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=3IW00300
3KC14406,Alpha Pinene from PerfumersWorld,PerfumersWorld,80-56-8,,0.08,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=3KC14406
3KL00430,Alpha Terpineol from PerfumersWorld,PerfumersWorld,98-55-5,,0.15,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=3KL00430
ALP06024,Alpha-Male Concentrate from PerfumersWorld,PerfumersWorld,Not Found,,5.02,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=ALP06024
ALP06025,Alpha-Male Factor from PerfumersWorld,PerfumersWorld,Not Found,,0.52,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=ALP06025
4WW17035,Amber Core from PerfumersWorld,PerfumersWorld,139504-68-0,,0.50,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4WW17035
3WQ11673,Amber Decane from PerfumersWorld,PerfumersWorld,58567-11-6,,0.45,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=3WQ11673
6WV18080,AMBER F-TEC from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.15,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6WV18080
6WV12277,Amber Fleuressence from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.12,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6WV12277
