Status,Cleaned_Name,WIP_CAS,PubChem_CID,PubChem_Title,PubChem_CAS_All,PubChem_Synonyms_Top10,Audit_Notes,Original_Name,Supplier_CAS_Map,Product_URL
WIP_DISCREPANCY,cis-3-Hexenyl Propionate,,5365049,cis-3-Hexenyl propionate,33467-74-2,,,cis-3-Hexenyl Propionate,{'MySkinRecipes': '33467-74-2'},https://www.myskinrecipes.com/shop/th/green-พืช-ใบไม้เขียว/2607-cis-3-hexenyl-propionate.html
DATA_GAP,Delta Decalactone,,12810,delta-Decalactone,705-86-2,"DELTA-DECALACTONE|705-86-2|6-Pentyltetrahydro-2H-pyran-2-one|5-Decanolide|6-pentyloxan-2-one|delta-Decanolactone|2H-Pyran-2-one, tetrahydro-6-pentyl-|Decan-5-olide|5-Decalactone|delta-Decalactone (natural)",,Delta Decalactone (FEMA 2361),{'MySkinRecipes': '705-86-2'},https://www.myskinrecipes.com/shop/th/dairy-นม-เนย/2510-delta-decalactone-fema-2361.html
DATA_GAP,Geranyl Nitrile,,21768,Geranyl nitrile,5146-66-7,"citronitrile|3,7-Dimethyl-2,6-octadienenitrile|2,6-Octadienenitrile, 3,7-dimethyl-|Citralva|DTXSID3036286|MS598KEL3M|DTXCID1016286|NSC-109052|RefChem:922179|225-918-0",,Geranyl Nitrile,{'MySkinRecipes': '5146-66-7'},https://www.myskinrecipes.com/shop/th/citrus-ส้ม-เปรี้ยว-สดชื่น/2488-geranyl-nitrile.html
WIP_VERIFIED,Nonyl Acetate,,8918,Nonyl Acetate,143-13-5,"NONYL ACETATE|Acetic acid, nonyl ester|Acetic Acid Nonyl Ester|NONYLACETATE|DTXSID4047123|EINECS 205-585-8|UNII-M2SE618B1L|NSC 82356|M2SE618B1L|AI3-11583",,Nonyl Acetate (FEMA 2788),{'MySkinRecipes': '143-13-5'},https://www.myskinrecipes.com/shop/th/aldehyde-ไขมัน/2432-nonyl-acetate-fema-2788.html
WIP_VERIFIED,Sclareolate,,16063805,"Propanoic acid, 2-(1,1-dimethylpropoxy)-, propyl ester, (2S)-",319002-92-1,"319002-92-1|Propanoic acid, 2-(1,1-dimethylpropoxy)-, propyl ester, (2S)-|Propyl (2S)-2-(1,1-dimethylpropoxy)propanoate|DTXSID30889168|RefChem:869172|DTXCID901028436|620-563-1|propyl (2S)-2-(2-methylbutan-2-yloxy)propanoate|SCHEMBL668281|KPUAQAYQMYWKBV-VIFPVBQESA-N",,Sclareolate,{'MySkinRecipes': '319002-92-1'},https://www.myskinrecipes.com/shop/th/herb-สมุนไพร/33680-sclareolate-firmenich-.html
WIP_VERIFIED,Pentyl Octanoate,,61185,,638-25-5,,,Pentyl Octanoate (FEMA 2079),{'MySkinRecipes': '638-25-5'},https://www.myskinrecipes.com/shop/th/yeast-moss-ยีส-มอสส์/32380-pentyl-octanoatefema-2079.html
WIP_VERIFIED,Propyl Butyrate,,7770,,105-66-8,,,Propyl Butyrate (FEMA 2934),{'MySkinRecipes': '105-66-8'},https://www.myskinrecipes.com/shop/th/ungrouped/32352-propyl-butyrate-fema-2934.html
DATA_GAP,Damascenone-98,,5366074,beta-Damascenone,23696-85-7|23726-93-4,"beta-Damascenone|23726-93-4|trans-beta-Damascenone|trans-damascenone|(E)-beta-damascenone|FEMA No. 3420|(E)-1-(2,6,6-Trimethyl-1,3-cyclohexadien-1-yl)-2-buten-1-one|U66V25TBO0|4-(2,6,6-Trimethylcyclohexa-1,3-dienyl)but-2-en-4-one|CHEBI:67251",,Damascenone-98 (FEMA 3420),{'MySkinRecipes': '23696-85-7'},https://www.myskinrecipes.com/shop/th/rose-กุหลาบ/9236-damascenone-98-fema-3420.html
DATA_GAP,Conifer Acetate,,62240,Conifer acetate,67874-72-0,,,Conifer Acetate (Coniferan),{'MySkinRecipes': '67874-72-0'},https://www.myskinrecipes.com/shop/th/konifer-ต้นสน/3435-conifer-acetate-coniferan.html
DATA_GAP,Musk Xylol,,62329,Musk Xylene,81-15-2,"Musk xylene|Musk xylol|81-15-2|Xylene musk|2,4,6-Trinitro-1,3-dimethyl-5-tert-butylbenzene|5-tert-Butyl-2,4,6-trinitro-m-xylene|5-tert-Butyl-2,4,6-trinitroxylene|1-tert-Butyl-3,5-dimethyl-2,4,6-trinitrobenzene|2,4,6-Trinitro-5-tert-butyl-m-xylene|m-Xylene, 5-tert-butyl-2,4,6-trinitro-",,Musk Xylol,{'MySkinRecipes': '81-15-2'},https://www.myskinrecipes.com/shop/th/musk-มัสก์/2885-musk-xylol.html
