Status,Cleaned_Name,WIP_CAS,PubChem_CID,PubChem_Title,PubChem_CAS_All,PubChem_Synonyms_Top10,Audit_Notes,Original_Name,Supplier_CAS_Map,Product_URL,SMILES,Molecular_Weight,Heavy_Atom_Count,LogP,Num_Aromatic_Rings,Num_Aliphatic_Rings,Num_Aromatic_Heterocycles,Num_Aliphatic_Heterocycles,Num_Benzene_Rings,Num_Bicyclic,Num_Aliphatic_Alcohols,Num_Phenols,Num_Aldehydes,Num_Ketones,Num_Esters,Num_Lactones,Num_Ethers,Num_Epoxides,Num_Furans,Num_Thiazoles,Num_Pyridines,Num_Thiophenes,Num_Primary_Amines,Num_Secondary_Amines,Num_Tertiary_Amines
DATA_GAP,Citrus Aldehyde,Mixture,,,,,,Citrus Aldehyde Fleuressence from PerfumersWorld,{},,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_GAP,A-ALDEHYDE,Mixture,,,,,,A-ALDEHYDE F-TEC from PerfumersWorld,{},,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_GAP,FRAGRANT RICE,Mixture,,,,,,FRAGRANT RICE F-TEC from PerfumersWorld,{},,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_GAP,BASIL,Mixture,,,,,,BASIL F-TEC from PerfumersWorld,{},,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_GAP,Thixener X 300,Mixture,,,,,,Thixener X 300 from PerfumersWorld,{},,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_GAP,Amber Solid,Mixture,,,,,,Amber Solid from PerfumersWorld,{},,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_GAP,Niaouli essential oil,8014-68-4,,,,,,Niaouli essential oil from PerfumersWorld,{},,,,,,,,,,,,,,,,,,,,,,,,,,
WIP_VERIFIED,Rhodinol Ex-Naturel,141-25-3,543323,"3,7-Dimethyl-7-octen-1-ol",141-25-3,"3,7-Dimethyl-7-octen-1-ol|141-25-3|7-OCTEN-1-OL, 3,7-DIMETHYL-|RefChem:91899|3,7-Dimethyloct-7-en-1-ol|alpha-Citronellol|2,6-Dimethyl-1-octen-8-ol|.alpha.-Citronellol|EINECS 205-473-9|a-Citronellol",,Rhodinol Ex-Naturel from PerfumersWorld,{},,CC(CCCC(=C)C)CCO,156.15,11,2.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIP_VERIFIED,Deionized Water,7732-18-5,962,Water,17778-80-2|7732-18-5,"water|7732-18-5|Distilled water|Dihydrogen oxide|Purified water|Sterile water|Water vapor|Water, deionized|aqua|oxidane",,Deionized Water from PerfumersWorld,{},,O,18.01,1,-0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIP_VERIFIED,Ethanol 99.,64-17-5,702,Ethanol,64-17-5,ethanol|ethyl alcohol|alcohol|64-17-5|grain alcohol|Methylcarbinol|Ethyl hydroxide|Ethyl hydrate|Tecsol|Algrain,,Ethanol 99.9% from PerfumersWorld,{},,CCO,46.04,3,-0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIP_VERIFIED,DPG,25265-71-8,134692469,Dipropylene Glycol,25265-71-8|110-98-5,"Dipropylenglykol|4-Oxa-2,6-heptandiol|E107L85C40|EPA Pesticide Chemical Code 068604|RefChem:57330|Abelia seaweed refining mask|Abelia green tea energy mask|Abelia cucumber soothing mask|Abelia lemon brightening mask|Abelia collagen amplifying mask",,DPG,{},,CC(CO)OC(C)CO.CC(COCC(C)O)O,268.19,18,-0.47,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
WIP_VERIFIED,IPM,110-27-0,8042,Isopropyl Myristate,110-27-0,"ISOPROPYL MYRISTATE|110-27-0|Isopropyl tetradecanoate|Isomyst|Bisomel|Estergel|Tetradecanoic acid, 1-methylethyl ester|Deltyl Extra|propan-2-yl tetradecanoate|Kesscomir",,IPM,{},,CCCCCCCCCCCCCC(=O)OC(C)C,270.26,19,5.64,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
WIP_VERIFIED,TEC,77-93-0,6506,Triethyl Citrate,77-93-0,"TRIETHYL CITRATE|77-93-0|Ethyl citrate|Citroflex 2|Eudraflex|Hydragen CAT|Citric acid, triethyl ester|1,2,3-Propanetricarboxylic acid, 2-hydroxy-, triethyl ester|Triaethylcitrat|FEMA No. 3083",,TEC,{},,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,276.12,19,0.19,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0
WIP_VERIFIED,BB,120-51-4,2345,Benzyl Benzoate,120-51-4,"BENZYL BENZOATE|120-51-4|Ascabiol|Benzoic acid, phenylmethyl ester|Benylate|Novoscabin|Scobenol|Benzoic acid, benzyl ester|Ascabin|Scabiozon",,BB,{},,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,212.08,16,3.04,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
WIP_VERIFIED,Aldehyde C-10,112-31-2,8175,Decanal,112-31-2|112-81-2,Decanal|Decyl aldehyde|112-31-2|Capraldehyde|Caprinaldehyde|Decanaldehyde|Capric aldehyde|1-Decanal|n-Decanal|n-Decyl aldehyde,,Aldehyde C-10 from SimpleScentsDIY,{},,CCCCCCCCCC=O,156.15,11,3.33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WIP_DISCREPANCY,Aldehyde C-11,112-45-8,8186,Undecanal,112-44-7,UNDECANAL|112-44-7|Undecyl aldehyde|n-Undecanal|Undecanaldehyde|Undecylic aldehyde|1-Undecanal|Hendecanal|Undecylaldehyde|Hendecanaldehyde,WIP CAS 112-45-8 not in PubChem ['112-44-7'],Aldehyde C-11 from SimpleScentsDIY,{},,CCCCCCCCCCC=O,170.17,12,3.72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WIP_DISCREPANCY,Aldehyde C-12,112-54-9,61031,2-Methylundecanal,110-41-8,"2-Methylundecanal|110-41-8|UNDECANAL, 2-METHYL-|Aldehyde M.N.A.|Methylnonylacetaldehyde|Aldehyde C-12|Methyl-n-nonylacetaldehyde|2-Methylhendecanal|Methylnonylacetic aldehyde|Aldehyde C-12 mna",WIP CAS 112-54-9 not in PubChem ['110-41-8'],Aldehyde C-12 from SimpleScentsDIY,{},,CCCCCCCCCC(C)C=O,184.18,13,3.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WIP_VERIFIED,Aldehyde C-14 Pure,104-67-6,7714,Gamma-undecalactone,104-67-6,"Gamma-undecalactone|104-67-6|Undecan-4-olide|2(3H)-Furanone, 5-heptyldihydro-|5-heptyloxolan-2-one|Persicol|Peach aldehyde|Peach lactone|1,4-Undecanolide|5-Heptyldihydro-2(3H)-furanone",,Aldehyde C-14 Pure from SimpleScentsDIY,{},,CCCCCCCC1CCC(=O)O1,184.15,13,3.05,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
