Product_ID,Material_Name,CAS_Number,New CAS,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%
5QV13027,Benzoin Siam Resinoid 50% in DPG from PerfumersWorld,"9000-72-0|0.5
25265-71-8|0.5",,0.40,,TRUE,Benzoin Siam Resinoid from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.5
2QV08253,Benzoin Sumatra Resinoid from PerfumersWorld,9000-05-9,,0.40,,FALSE,,,
1RP00051,Benzophenone from PerfumersWorld,119-61-9,,0.15,,FALSE,,,
5RP09245,Benzophenone 10% in DPG from PerfumersWorld,"119-61-9|0.1
25265-71-8|0.9",,0.08,,TRUE,Benzophenone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
3JF00052,Benzyl Acetate from PerfumersWorld,140-11-4,,0.20,,FALSE,,,
0ZN00053,Benzyl Alcohol (BA) from PerfumersWorld,100-51-6,,0.20,,FALSE,,,
0ZN00054,Benzyl Benzoate (BB) from PerfumersWorld,120-51-4,,0.20,,FALSE,,,
4JD00055,Benzyl Butyrate from PerfumersWorld,103-37-7,,0.20,,FALSE,,,
2SQ00056,Benzyl Cinnamate from PerfumersWorld,103-41-3,,0.30,,FALSE,,,
5SQ12479,Benzyl Cinnamate 10% in DPG from PerfumersWorld,"103-41-3|0.1
25265-71-8|0.9",,0.10,,TRUE,Benzyl Cinnamate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
4JW00057,Benzyl Formate from PerfumersWorld,104-57-4,,0.84,,FALSE,,,
1SP00058,Benzyl Isoeugenol from PerfumersWorld,120-11-6,,0.70,,FALSE,,,
5SP12480,Benzyl Isoeugenol 10% in DPG from PerfumersWorld,"120-11-6|0.1
25265-71-8|0.9",,0.10,,TRUE,Benzyl Isoeugenol from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
3JF00059,Benzyl Propionate from PerfumersWorld,122-63-4,,0.09,,FALSE,,,
3ON00060,Benzyl Salicylate from PerfumersWorld,118-58-1,,0.09,,FALSE,,,
7CL00061,Bergamot Essential Oil from PerfumersWorld,8007-75-8,,0.35,,FALSE,,,
6CL18898,BERGAMOT F-TEC from PerfumersWorld,Mixture (Perfume Base),,0.18,,FALSE,,,
7CL24020,Bergamot FCF oil Sicilian from PerfumersWorld,68648-33-9,,0.22,,FALSE,,,
6CL09058,Bergamot Fleuressence from PerfumersWorld,Mixture (Perfume Base),,0.20,,FALSE,,,
3FG19149,Berry Hexanoate (BerryFlor) from PerfumersWorld,104986-28-9,,1.10,,FALSE,,,
3WS00089,Beta Caryophyllene from PerfumersWorld,87-44-5,,0.14,,FALSE,,,
9IR00141,Beta Damascone from PerfumersWorld,23696-85-7,,3.18,,FALSE,,,
5IR07532,Beta Damascone 10% in DPG from PerfumersWorld,"23696-85-7|0.1
25265-71-8|0.9",,0.35,,TRUE,Beta Damascone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
4BC11314,Beta Homocyclocitral from PerfumersWorld,472-66-2,,7.60,,FALSE,,,
3IF00238,Beta Ionone from PerfumersWorld,79-77-6,,0.29,,FALSE,,,
3KC00386,Beta Pinene from PerfumersWorld,127-91-3,,0.06,,FALSE,,,
5TP07825,Birch Tar Essential Oil 1% in DPG from PerfumersWorld,"8001-88-5|0.01
25265-71-8|0.99",,0.15,,TRUE,Birch Tar Essential Oil from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.01
7TP00822,Birch Tar Oil Rectified from PerfumersWorld,8001-88-5,,2.30,,FALSE,,,
5TP11094,Birch Tar Oil Rectified 10% in DPG from PerfumersWorld,"8001-88-5|0.1
25265-71-8|0.9",,0.25,,TRUE,Birch Tar Oil Rectified from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
7CA00849,Bitter Orange Essential Oil from PerfumersWorld,68916-04-1,,0.50,,FALSE,,,
6WU07708,Black Agarwood Artificial from PerfumersWorld,Mixture (Perfume Base),,1.70,,FALSE,,,
7SQ00359,Black Pepper Essential Oil from PerfumersWorld,84929-41-9,,1.00,,FALSE,,,
