Product_ID,Material_Name,Package_Size,CAS_Number,New CAS,Price_THB_total,Price_THB/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Supplier,Product_URL
2661,Methyl Ionone Gamma 95,1 g,,,304.77,304.7700,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/iris-ไอริส/2661-methyl-ionone-gamma-isoraldeine-95.html
2606,Chrysanthemum Oxide,1 g,3558-60-9,,528.25,528.2500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/green-พืช-ใบไม้เขียว/2606-chrysanthemum-oxide.html
2509,Delta‑Undecalactone,1 g,710-04-3,,89.35,89.3500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/dairy-นม-เนย/2509-delta-undecalactone.html
2487,Citral,1 g,5392-40-5,,50.45,50.4500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/citrus-ส้ม-เปรี้ยว-สดชื่น/2487-citral-fema-2303.html
2474,Eucalyptol (FEMA 2465),1 g,470-82-6,,44.46,44.4600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/ice-cold-เย็น/2474-eucalyptol-1-8-cineole.html
2431,Nonanol,1 g,143-08-8,,70.76,70.7600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/aldehyde-ไขมัน/2431-nonanol.html
32351,Isobornyl Propionate (FEMA,1 g,2756-56-1,,129.25,129.2500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/ungrouped/32351-isobornyl-propionate-fema-2163.html
3991,"Verdantiol, Lilyall / Methyl Anthranilate Schiffs Base",1 g,91-51-0,,254.25,254.2500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/narcotic-ยาเสพติด/3991-verdantiol-lilyall-methyl-anthranilate-schiffs-base.html
3877,Styralyl Alcohol,1 g,7549-33-9,,5980.00,5980.0000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/herb-สมุนไพร/3877-styralyl-alcohol-fema-2685-.html
3837,Treemoss Resinoid,1 g,68917-40-8,,35.00,35.0000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/yeast-moss-ยีส-มอสส์/3837-treemoss-resinoid.html
2884,Galaxolide,1 g,1222-05-5,,44.60,44.6000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/musk-มัสก์/2884-galaxolide-musk-gx.html
2848,Timber Propanol (Karmawood),1 g,70788-30-6,,110.80,110.8000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/wood-ไม้-เปลือกไม้/2848-timber-propanol-karmawood.html
2826,Strawberry Furanone,1 g,3658-77-3,,254.44,254.4400,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/vanilla-วานิลลา/2826-strawberry-furanone.html
2813,Indolene 50,1 g,68908-82-7,,428.00,428.0000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/animal-สัตว์/2813-indolene-50.html
2790,Isoeugenol (FEMA,7 g,97-54-1,,67.41,9.6300,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/spice-เผ็ดร้อน/2790-isoeugenol-fema-2468.html
2763,Damascenone Total (Damascenone 93%) (FEMA,1 g,23696-85-7,,627.50,627.5000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/rose-กุหลาบ/2763-damascenone-total-damascenone-93-fema-3420.html
2746,Benzyl Benzoate (FEMA,1 g,120-51-4,,37.48,37.4800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/frankincense-กำยาน/2746-benzyl-benzoate-fema-2138.html
2737,p‑Cresol,1 g,106-44-5,,65.91,65.9100,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/phenolic-ยา/2737-para-cresol.html
2712,Magnolia Indene (Magnolan),1 g,27606-09-3,,148.15,148.1500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/lily-of-the-valley/2712-magnolia-indene-magnolan.html
2691,Woody Acetate (Vertenex),1 g,32210-23-4,,37.48,37.4800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/linalool-ฟรีเซีย/2691-woody-acetate-vertenex.html
2683,Para,1 g,,,50.95,50.9500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/konifer-ต้นสน/2683-para-cymene-fema-2356.html
2670,Dihydrojasmone,1 g,,,132.34,132.3400,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/jasmine-มะลิ/2670-dihydrojasmone-fema-3763.html
2662,Violiff,1 g,,,401.88,401.8800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/iris-ไอริส/2662-violet-methyl-carbonate-violiff.html
2607,cis‑3‑Hexenyl Propionate,1 g,33467-74-2,,107.21,107.2100,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/green-พืช-ใบไม้เขียว/2607-cis-3-hexenyl-propionate.html
2557,Calone,1 g,28940-11-6,,247.95,247.9500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/fruit-ผลไม้/2557-watermelon-ketone-calone.html
2510,Delta‑Decalactone,1 g,705-86-2,,58.73,58.7300,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/dairy-นม-เนย/2510-delta-decalactone-fema-2361.html
2488,Geranyl Nitrile,1 g,5146-66-7,,73.09,73.0900,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/citrus-ส้ม-เปรี้ยว-สดชื่น/2488-geranyl-nitrile.html
2475,Menthyl Acetate,1 g,2623-23-6,,64.83,64.8300,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/ice-cold-เย็น/2475-menthyl-acetate.html
2432,Nonyl Acetate (FEMA,1 g,143-13-5,,73.09,73.0900,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/aldehyde-ไขมัน/2432-nonyl-acetate-fema-2788.html
33680,Sclareolate,1 g,319002-92-1,,50.95,50.9500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/herb-สมุนไพร/33680-sclareolate-firmenich-.html
32380,Pentyl Octanoate (FEMA,1 g,638-25-5,,159.18,159.1800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/yeast-moss-ยีส-มอสส์/32380-pentyl-octanoatefema-2079.html
32352,Propyl Butyrate (FEMA,1 g,105-66-8,,129.25,129.2500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/ungrouped/32352-propyl-butyrate-fema-2934.html
9236,Damascenone (98%) (FEMA,1 g,23696-85-7,,209.71,209.7100,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/rose-กุหลาบ/9236-damascenone-98-fema-3420.html
3435,Conifer Acetate (Coniferan),1 g,67874-72-0,,6030.00,6030.0000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/konifer-ต้นสน/3435-conifer-acetate-coniferan.html
2885,Musk Xylol,1 g,81-15-2,,46.46,46.4600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/musk-มัสก์/2885-musk-xylol.html
2849,Cedrol,1 g,77-53-2,,159.18,159.1800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/wood-ไม้-เปลือกไม้/2849-cedrol.html
2827,Vanillyl Isobutyrate (Isobutavan),1 g,20665-85-4,,198.08,198.0800,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/vanilla-วานิลลา/2827-vanillyl-isobutyrate-isobutavan.html
